tx_id,user_id,amount,is_fraudulent,created_at,device_type,country,device_id
181,737229.40,False,2000-02-17 01:42:48,192.138.123.107,194.241.40.182,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 11.0; Trident/4.0),718ee83e-9900-4fb1-a591-c4b961255a18,Desktop,"Mills, Mosley and Rhodes Bank",GB82KPVX20996814585132,Togo,UYU
137,883936.26,False,1996-07-08 17:41:12,33.125.20.91,128.164.169.120,"Mozilla/5.0 (iPad; CPU iPad OS 12_5_7 like Mac OS X) AppleWebKit/536.0 (KHTML, like Gecko) CriOS/19.0.810.0 Mobile/82J134 Safari/536.0",58055168-0c4f-44e2-80b9-28544c52c76d,Tablet,Yoder Group Bank,GB46BGLW29159921132298,Angola,NPR
974,487953.24,False,2009-03-18 01:03:24,190.132.42.192,134.95.25.155,"Mozilla/5.0 (Linux; Android 2.3.4) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/20.0.828.0 Safari/532.0",b62e1ad5-71b3-4714-848a-8a1b7296b5c6,Desktop,Cunningham-Lynch Bank,GB76HIKT58274563208031,Norfolk Island,XCD
645,975814.46,False,1973-06-20 10:46:46,59.231.197.174,17.235.130.200,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; csb-PL) AppleWebKit/531.48.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6531.48.5",9005a300-dc63-48be-ab82-ea22928f4450,Laptop,Carlson PLC Bank,GB66LSVI14818485471712,Yemen,HKD
993,55662.43,False,1982-07-11 20:07:57,195.36.24.142,148.9.33.51,"Mozilla/5.0 (iPhone; CPU iPhone OS 3_1_3 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/15.5y8984.0 Mobile/09S436 Safari/532.0",66243c72-32ea-4fe6-b02e-935ed8b57d9a,Tablet,Aguilar PLC Bank,GB64KHCV51165891759032,Morocco,EGP
824,316662.10,False,1995-08-17 18:54:56,199.178.77.129,35.143.163.157,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4; rv:1.9.2.20) Gecko/9150-06-06 07:58:24 Firefox/3.6.2,35f959c1-0df3-4218-be64-525dca260c38,Mobile,"Liu, Garrison and Mueller Bank",GB81ARQG60053869167738,Somalia,MYR
84,142269.63,False,2004-03-28 12:20:46,199.170.157.114,138.75.11.193,Opera/8.86.(Windows NT 10.0; br-FR) Presto/2.9.169 Version/12.00,9d26ff75-cf5e-4c75-aaa2-5eebfa14f7c5,Mobile,Bryant-Harmon Bank,GB37XUVT41765790363195,New Zealand,NIO
209,365938.61,False,1993-12-13 05:29:08,121.255.230.85,123.136.25.232,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/5.0),d363977b-5913-46cf-8e2d-7e92db672cd6,Mobile,Bishop-Vargas Bank,GB19KDQF75423233895139,Denmark,UYU
543,500678.66,False,1989-02-20 21:35:09,36.74.223.77,148.242.230.87,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_9) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/24.0.898.0 Safari/532.0",6eff096c-d051-4233-8ddb-7a87e26147cd,Tablet,Meyers-Bradley Bank,GB28BMHA74431653875849,Solomon Islands,AZN
15,231109.74,False,2020-06-26 22:29:16,149.86.221.60,19.125.250.128,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/38.0.848.0 Mobile/24K002 Safari/532.0",f108d3cd-aa7d-4a26-b99e-3cad93a7f6b8,Desktop,Anderson-Wallace Bank,GB45DQQE14046649804430,Guernsey,MDL
333,149938.85,False,1976-08-10 01:26:26,214.65.77.8,153.138.161.237,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_5) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/38.0.890.0 Safari/535.0",23ee2727-b849-422f-b385-479f16f56558,Laptop,Baker-Carney Bank,GB22GMSG68305021397563,Tajikistan,RUB
549,25428.45,False,2011-11-06 01:59:58,94.199.235.75,27.135.76.72,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ast-ES) AppleWebKit/531.46.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6531.46.4",dff58573-a8eb-4ea6-b566-877cf49154dc,Tablet,"Landry, Jordan and Oliver Bank",GB93EYYX08340451803524,Anguilla,GIP
